"x"
"1";2001-01-05
"2";2001-01-13
"3";2001-01-21
"4";2001-01-29
"5";2001-02-06
"6";2001-02-14
"7";2001-02-22
"8";2001-03-02
"9";2001-03-10
"10";2001-03-18
"11";2001-03-26
"12";2001-04-03
"13";2001-04-11
"14";2001-04-19
"15";2001-04-27
"16";2001-05-05
"17";2001-05-13
"18";2001-05-21
"19";2001-05-29
"20";2001-06-06
"21";2001-06-14
"22";2001-06-22
"23";2001-06-30
"24";2001-07-08
"25";2001-07-16
"26";2001-07-24
"27";2001-08-01
"28";2001-08-09
"29";2001-08-17
"30";2001-08-25
"31";2001-09-02
"32";2001-09-10
"33";2001-09-18
"34";2001-09-26
"35";2001-10-04
"36";2001-10-12
"37";2001-10-20
"38";2001-10-28
"39";2001-11-05
"40";2001-11-13
"41";2001-11-21
"42";2001-11-29
"43";2001-12-07
"44";2001-12-15
"45";2001-12-23
"46";2001-12-31
"47";2002-01-05
"48";2002-01-13
"49";2002-01-21
"50";2002-01-29
"51";2002-02-06
"52";2002-02-14
"53";2002-02-22
"54";2002-03-02
"55";2002-03-10
"56";2002-03-18
"57";2002-03-26
"58";2002-04-03
"59";2002-04-11
"60";2002-04-19
"61";2002-04-27
"62";2002-05-05
"63";2002-05-13
"64";2002-05-21
"65";2002-05-29
"66";2002-06-06
"67";2002-06-14
"68";2002-06-22
"69";2002-06-30
"70";2002-07-08
"71";2002-07-16
"72";2002-07-24
"73";2002-08-01
"74";2002-08-09
"75";2002-08-17
"76";2002-08-25
"77";2002-09-02
"78";2002-09-10
"79";2002-09-18
"80";2002-09-26
"81";2002-10-04
"82";2002-10-12
"83";2002-10-20
"84";2002-10-28
"85";2002-11-05
"86";2002-11-13
"87";2002-11-21
"88";2002-11-29
"89";2002-12-07
"90";2002-12-15
"91";2002-12-23
"92";2002-12-31
"93";2003-01-05
"94";2003-01-13
"95";2003-01-21
"96";2003-01-29
"97";2003-02-06
"98";2003-02-14
"99";2003-02-22
"100";2003-03-02
"101";2003-03-10
"102";2003-03-18
"103";2003-03-26
"104";2003-04-03
"105";2003-04-11
"106";2003-04-19
"107";2003-04-27
"108";2003-05-05
"109";2003-05-13
"110";2003-05-21
"111";2003-05-29
"112";2003-06-06
"113";2003-06-14
"114";2003-06-22
"115";2003-06-30
"116";2003-07-08
"117";2003-07-16
"118";2003-07-24
"119";2003-08-01
"120";2003-08-09
"121";2003-08-17
"122";2003-08-25
"123";2003-09-02
"124";2003-09-10
"125";2003-09-18
"126";2003-09-26
"127";2003-10-04
"128";2003-10-12
"129";2003-10-20
"130";2003-10-28
"131";2003-11-05
"132";2003-11-13
"133";2003-11-21
"134";2003-11-29
"135";2003-12-07
"136";2003-12-15
"137";2003-12-23
"138";2003-12-31
"139";2004-01-05
"140";2004-01-13
"141";2004-01-21
"142";2004-01-29
"143";2004-02-06
"144";2004-02-14
"145";2004-02-22
"146";2004-03-01
"147";2004-03-09
"148";2004-03-17
"149";2004-03-25
"150";2004-04-02
"151";2004-04-10
"152";2004-04-18
"153";2004-04-26
"154";2004-05-04
"155";2004-05-12
"156";2004-05-20
"157";2004-05-28
"158";2004-06-05
"159";2004-06-13
"160";2004-06-21
"161";2004-06-29
"162";2004-07-07
"163";2004-07-15
"164";2004-07-23
"165";2004-07-31
"166";2004-08-08
"167";2004-08-16
"168";2004-08-24
"169";2004-09-01
"170";2004-09-09
"171";2004-09-17
"172";2004-09-25
"173";2004-10-03
"174";2004-10-11
"175";2004-10-19
"176";2004-10-27
"177";2004-11-04
"178";2004-11-12
"179";2004-11-20
"180";2004-11-28
"181";2004-12-06
"182";2004-12-14
"183";2004-12-22
"184";2004-12-30
"185";2005-01-05
"186";2005-01-13
"187";2005-01-21
"188";2005-01-29
"189";2005-02-06
"190";2005-02-14
"191";2005-02-22
"192";2005-03-02
"193";2005-03-10
"194";2005-03-18
"195";2005-03-26
"196";2005-04-03
"197";2005-04-11
"198";2005-04-19
"199";2005-04-27
"200";2005-05-05
"201";2005-05-13
"202";2005-05-21
"203";2005-05-29
"204";2005-06-06
"205";2005-06-14
"206";2005-06-22
"207";2005-06-30
"208";2005-07-08
"209";2005-07-16
"210";2005-07-24
"211";2005-08-01
"212";2005-08-09
"213";2005-08-17
"214";2005-08-25
"215";2005-09-02
"216";2005-09-10
"217";2005-09-18
"218";2005-09-26
"219";2005-10-04
"220";2005-10-12
"221";2005-10-20
"222";2005-10-28
"223";2005-11-05
"224";2005-11-13
"225";2005-11-21
"226";2005-11-29
"227";2005-12-07
"228";2005-12-15
"229";2005-12-23
